name,image,description,brand,category,price,countInStock,rating,numReviews
Samsung Galaxy S21 Ultra 5G,/images/Samsung Galaxy S21 Ultra 5G.jpg,"The Samsung Galaxy S21 Ultra 5G is a powerful smartphone with a 6.8-inch AMOLED display and 5G connectivity. The phone features a quad camera setup with up to 100x zoom, and is powered by the Exynos 2100 or Snapdragon 888 processor depending on the region.",Samsung,Electronics,1999.99,6,3,97
Microsoft Surface Pro 8,/images/Microsoft Surface Pro 8.jpg,"The Microsoft Surface Pro 8 is a versatile tablet/laptop hybrid with a 13-inch PixelSense display and a range of connectivity options. The device is powered by the 11th Gen Intel Core processor, and supports the Surface Pen and other accessories.",Microsoft,Electronics,695,91,1,74
Sony PlayStation 5,/images/Sony PlayStation 5.jpg,"The Sony PlayStation 5 is a next-gen gaming console with lightning-fast load times and stunning graphics. The console features a custom AMD Zen 2 processor and RDNA 2 graphics, and supports a range of popular games and streaming services.",Sony,Electronics,559,10,3,32
Bose SoundLink Revolve Bluetooth Speaker,/images/Bose SoundLink Revolve Bluetooth Speaker.jpg,The Bose SoundLink Revolve+ is a portable Bluetooth speaker with 360-degree sound and up to 16 hours of battery life. The speaker is water-resistant and features voice prompts for easy operation.,Bose,Electronics,179.99,2,2.5,25
Apple MacBook Pro 2021,/images/Apple MacBook Pro 2021.jpg,"The Apple MacBook Pro (2021) is a powerful laptop with the M1 Pro or M1 Max chip and up to 10-core CPU. The laptop features a stunning 16-inch Retina display with True Tone technology, and up to 32GB of unified memory for seamless multitasking.",Apple,Electronics,2199,24,2.5,10
Canon EOS R6,/images/Canon EOS R6.jpg,"The Canon EOS R6 is a full-frame mirrorless camera with a 20.1MP CMOS sensor and 4K video. The camera features in-body image stabilization and dual pixel autofocus, and is compatible with a range of Canon RF lenses.",Canon,Electronics,2299,45,2,19
LG Gram 17,/images/LG Gram 17.jpg,"The LG Gram 17 is an ultra-lightweight laptop with a 17-inch WQXGA display and up to 19.5 hours of battery life. The laptop features the 11th Gen Intel Core processor and Thunderbolt 4 connectivity, and weighs just 2.98 pounds.",LG,Electronics,1999.99,66,4,50
Fitbit Charge 5,/images/Fitbit Charge 5.jpg,"The Fitbit Charge 5 is a fitness tracker with a range of health and wellness features, including EDA stress management and skin temperature tracking. The tracker is water-resistant and features up to 7 days of battery life.",Fitbit,Electronics,149.95,39,2,89
Samsung QN90A Neo QLED TV,/images/Samsung QN90A Neo QLED TV.jpg,"The Samsung QN90A is a top-of-the-line Neo QLED TV with a 4K resolution and 120Hz refresh rate. The TV features quantum dot technology for vibrant colors, and is powered by the Quantum Processor 4K for seamless upscaling and optimization of content.",Samsung,Electronics,1799.99,42,0,65
Dell XPS 13 2022,/images/Dell XPS 13 2022.jpg,"The Dell XPS 13 (2022) is a slim and stylish laptop with the 11th Gen Intel Core processor and up to 32GB of RAM. The laptop features a 13.4-inch 4K display with Dolby Vision, and weighs just 2.64 pounds.",Dell,Electronics,1256,92,4.5,10
Apple Watch Series 7,/images/Apple Watch Series 7.jpg,"The Apple Watch Series 7 is a smartwatch with a range of health and fitness features, including blood oxygen and ECG monitoring. The watch features an always-on Retina display and up to 18 hours of battery life, and is compatible with a range of bands and accessories.",Apple,Electronics,1509,87,0,55
Sony A7S III,/images/Sony A7S III.jpg,"The Sony A7S III is a full-frame mirrorless camera with a 12.1MP sensor and 4K/120p video. The camera features advanced autofocus and image stabilization, and is compatible with a range of Sony E-mount lenses.",Sony,Electronics,3896,62,0,89
Microsoft Xbox Series X,/images/Microsoft Xbox Series X.jpg,"The Microsoft Xbox Series X is a next-gen gaming console with 4K gaming and up to 120fps. The console features a custom AMD Zen 2 processor and RDNA 2 graphics, and supports a range of popular games and streaming services.",Microsoft,Electronics,559.99,56,1,83
ASUS TUF Gaming F15 Core i5 10th Gen,/images/25.jpg,Raise the thrill in every game and add a little style to your gaming setup with the Asus TUF Gaming F15 laptop. It is equipped with a 10th Gen Intel Core H-Series processor and GeForce GTX 1650 GPU so that you can experience fast-paced and smooth gaming.,ASUS,Electronics,605,18,4,25
Lenovo IdeaPad Gaming 3 15 RYZEN 5 5600H,/images/26.jpg,"Lenovo Ideapad Gaming 3 15 RYZEN 5 5600H, NVIDIA GTX 1650 Graphics Card with 4GB GDDR6 VRAM, 256GB SSD , 8GB DDR4 RAM, 15.6-inch Full-HD (1920 x 1080 pixels) 120Hz display, BT WIN10 Webcam, Backlit Keyboard",LENOVO,Electronics,870,3,1,81
HP Pavilion Power 15 2020 i5 10300H,/images/27.jpg,"HP Pavilion Power 15 2020 Gaming Laptop with 10Th Gen Intel Core i5-10300H processor, NVIDIA GTX 1650Ti Graphics Card with 4GB of GDDR6 VRAM, 512GB SSD Storage",HP,Electronics,719,74,0,13
Acer Nitro 5 2021 AMD Ryzen 5 5600H,/images/28.jpg," Acer Nitro 5 2021 Gaming Laptop with 5000-series AMD Ryzen 5 5600H processor featuring Hexa-core (6-core) processor, NVIDIA RTX 3060 Graphics Card with 6GB of GDDR6, 8GB DDR4 RAM, 512GB SSD Storage",ACER,Electronics,984,32,3,96
Acer Predator Helios 300 2021 i5 10th Gen,/images/29.jpg,"Acer Predator Helios 300 2021 with 10th Gen Intel Core i5-10300H processor, NVIDIA GeForce RTX 3060 Graphics Card with 6GB of dedicated GDDR6 VRAM, 8GB DDR4 RAM (Expandable up to 32GB), 512GB SSD storage",ACER,Electronics,1052,83,1.5,32
Dell G5 G5510 2021 i7 10th Gen 8 Core,/images/30.jpg,"Dell G5 G5510 2021 Gaming laptop with 10th Gen Intel Core i7-10870H processor with Octa-core (8-core) CPU, NVIDIA RTX 3060 graphics card with 6GB of VRAM, 16GB DDR4 RAM (Expandable), 512GB SSD storage",DELL,Electronics,1203,82,2.5,68
Dell G5 15 G5500 2020 i7 10Th Gen,/images/31.jpg,"Dell G5 15 G5500 2020 Gaming Laptop with 10th Gen i7-10870H processor featuring Octa-core (8-core) CPU, NVIDIA RTX 2060 Graphics card with 6GB of VRAM, 16GB DDR4 RAM (Expandable), 1TB SSD Storage, Additional HDD slot for storage expansion",DELL,Electronics,1423,62,2.5,60
Asus Zephyrus G14 GA401IV Ryzen 9 4900HS,/images/32.jpg,"Asus Zephyrus G14 GA401IV Gaming Laptop with 4000-series AMD Ryzen 9 4900HS processor, 16GB DDR4 RAM, 1TB M.2 NVMe PCIe 3.0 SSD Storage, NVIDIA GeForce RTX 2060 graphics card with 6GB of GDDR6 VRAM, 14-inch Full-HD, 120Hz refresh rate",ASUS,Electronics,1665,49,3.5,95
HP Spectre 13 i7 10TH GEN,/images/33.jpg,"HP Spectre 13-AW0013 x360 2-IN-1 Core™ i7-1065G7 1.3GHz 512GB SSD 8GB 13.3"" (1920x1080) GORILLA TOUCHSCREEN BT WIN10 IR Camera NATURAL SILVER Backlit Keyboard FP Reader .7"" thin, 2.87 lbs",HP,Electronics,1400,8,2,69
Apple M1 MacBook Air 2020,/images/34.jpg,"Apple M1 MacBook Air 2020 13.3"" Retina Display with 400nits brightness and P3 color gamut, fit-generation Apple M1 Chip, Octa-core (8-core) CPU with 4 perform­ance cores and 4 efficiency cores, 7-core GPU, 16-core Neural Engine, 8GB unified Memory, 256GB SSD Storage",APPLE,Electronics,1097,27,0,88
HP Envy 15 2020 Ryzen 7 4700U,/images/35.jpg,"HP Envy 15 2020 x360 2-in-1 convertible with 360-degree hinge, 4000-series Ryzen 7 4700U processor with eight cores (Octa-core), 8GB DDR4 RAM, 512GB MVMe M.2 SSD, 15.6-inch Full-HD (1920 x 1080 pixels) 360-degree",HP,Electronics,1059,93,2,85
Rapoo VH310 Noise Cancelling RGB Gaming Headphone,/images/36.jpg,"Through the driver software, virtual 7.1 virtual surround sound effects can be turned on, providing powerful positioning effects, creating a more realistic sense of environmental sound orientation, and insight into opportunities on the ever-changing battlefield, always preparing for battle and taking preemptive actions.",Rapoo,Electronics,29,36,2.5,20
Rapoo S100 Bluetooth Headphones,/images/37.jpg,"Rapoo S100 Bluetooth Headphones with up to 20 hou of wireless playtime, compatible with all Bluetooth-enabled devices including your laptops, iPad, smartphones, and tablets.",Rapoo,Electronics,45,19,3.5,78
Logitech MK220 Wireless Keyboard And Mouse Combo Set,/images/38.jpg,"Logitech MK220 Wireless Keyboard and Mouse Combo Set, easy pairing up to 10m, 24 months battery life for keyboard, 5 months battery life for mouse",Logitech,Electronics,25,80,4.5,90
Logitech K380 Multi Device Minimalist Bluetooth Keyboard,/images/39.jpg,Logitech K380 Minimalist Multi Device Bluetooth Device With 24 months Battery. Lightweight at Just Around 423 g including batteries.,Logitech,Electronics,53,57,4,35
Rapoo N300 Gaming Mouse,/images/40.jpg,Rapoo N300 Brand High-End Wired Optical Professional Gaming Mouse with 3 Levels Adjustable DPI and Ergonomics Design For Office&Design,Rapoo,Electronics,6,30,4.5,85
Rapoo 3500P 5G Wireless Optical Mouse Black,/images/41.jpg,"Reliable 5G wireless transmission results in less interference from other wireless, Bluetooth and Wi-Fi devices. You will enjoy responsive and smooth cuor control with the 1000 DPI high-definition invisible tracking engine.",Rapoo,Electronics,21,23,4,66
Logitech G604 Light Speed Wireless Gaming Mouse,/images/42.jpg,"Logitech G604 Lightspeed Wireless Gaming Mouse, 100 - 16000 DPI, Max. speed: > 400 IPS, 5.5 months battery life (On Standard Use)",Logitech,Electronics,114,33,1,55
Logitech G440 Hard Gaming Mousepad,/images/43.jpg,Logitech G440 Hard Gaming Mousepad Hard Surface 228 Grams Gaming Mousepad,Logitech,Electronics,26,52,2.5,54
Logitech G240 Cloth Gaming Mousepad Ultra Low Profile 1mm,/images/44.jpg,Brand New Logitech G240 Cloth Gaming Mousepad Ultra Low Profile 1mm Cloth Texture,Logitech,Electronics,30,37,1.5,84
Dell XPS 15 9500 i7 10TH GEN,/images/45.jpg,"Dell XPS 15 9500 2020 with 10th Gen Intel Core i7-10750H processor featuring Hexa-core (6-core) CPU, NVIDIA GeForce GTX 1650Ti Graphics Card, 500 nits brightness, 86Wh battery with remarkable battery backup, Stereo speake, Backlit Keyboard",Dell,Electronics,2005,91,1,23
Asus TUF VG249Q1R Gaming Monitor,/images/46.jpg,"Asus TUF VG249Q1R Gaming Monitor with a 23.8-inch IPS display, Full HD (1920 x 1080 pixels) resolution, 165Hz refresh rate (overclockable), 1ms response time (Grey to Grey), 100% sRGB Color coverage,Extreme Low Motion Blur",ASUS,Electronics,401,68,5,86
MSI Optix G27CQ4 Curved Gaming Monitor,/images/47.jpg,"Curved Gaming display (1500R) – The best gameplay immeion, WQHD High Resolution – Game titles will even look better, displaying more details due to the WQHD resolution,165Hz Refresh Rate – Real smooth gaming,1ms response time",MSI,Electronics,499,10,5,22
Razer Essential Wired Gaming Bundle ,/images/48.jpg,"Razer Essential Wired Gaming Bundle, which includes a gaming mouse, wired gaming RGB keyboard, mouse pad all in a single package.",Razer,Electronics,129,58,4,54
Apple M1 MacBook Pro 2020,/images/49.jpg,"Apple M1 MacBook Pro 2020 13.3-inch Retina display  with 400 nits of brightness and P3 color gamut, Apple M1 Chip, Octa-core (8-core) CPU, 8-core GPU, 16-core Neural Engine, 8GB Unified Memory,512GB SSD storage,Stereo Speake, FaceTime HD Camera",APPLE,Electronics,1740,16,5,57
Acer Aspire 3 2021 i5 11Th Gen,/images/50.jpg,"Acer Aspire 3 2021 budget notebook with 11th gen Intel Core i5-1135G7 Processor, 8GB DDR4 RAM (Expandable up to 16GB), 1TB HDD storage, 256GB SSD, NVIDIA MX350 2GB Graphic, 15.6-inch IPS display with Full-HD (1920 x 1080 pixels) resolution, 1.7Kg weight",ACER,Electronics,636,49,1.5,43
Acer Aspire 5 2021 Ryzen 7 5700U,/images/51.jpg,"Acer Aspire 5 2021 A515-45-R8RV with 5000-Series AMD Ryzen 5700U Processor featuring Octa-core (8-core) CPU, Vega 8 Graphics, Backlight Keyboard, Sleek budget notebook with 4.19 lbs Weight, 8 hou of battery life",ACER,Electronics,734,65,3.5,70
Acer Swift 3 2021 Ryzen 7 5700U,/images/52.jpg,"Acer Swift 3 2021 with 5000-series AMD Ryzen 7 5700U processor featuring Hexa-core (6-core) CPU, 8GB DDR4 RAM, 512GB SSD storage, 14-inch IPS display with Full-HD,Fingerprint scanner, Backlight Keyboard, Thin and light ultrabook with 15.9mm thickness and 1.2KG Weight",ACER,Electronics,795,37,3.5,95
Acer Swift 5 2020 i7 10Th Gen,/images/53.jpg,"Acer Swift 5 2020 514-54T-73BZ with 10th Gen Intel Core i7-1065G7 processor, Intel Iris Xe Graphics, 8GB DDR4 RAM, 512GB M.2 NVMe PCIe SSD Storage, 14-inch IPS display with Full-HD, Touchscreen panel, Fingerprint Scanner, Backlight Keyboard",ACER,Electronics,1022,43,1.5,89
Acer Predator Triton 500 2020 i7 10TH GEN,/images/54.jpg,"Acer Predator Triton 500 2020 10th Gen Core i7-10875H, RTX 2070 8GB, 15.6"" Full-HD 144Hz display 16GB RAM, 512GB SSD",ACER,Electronics,1778,0,1,34
HP Omen 16 2021 i7 11800H 8 Core,/images/55.jpg,"HP Omen 16 2021 16-b0080TX Gaming laptop with 11th Gen Intel Core i7-11800H processor featuring Octa-core (8-core) CPU and 16 threads, NVIDIA RTX 3060 Graphics Card with 6GB of GDDR6 VRAM, 16GB DDR4 RAM, 512GB SSD storage",HP,Electronics,1286,67,2.5,99
HP Spectre x360 16 2-in-1 i7 12th Gen,/images/56.jpg,"HP Spectre 16 x360 2022 2-in-1 Convertible laptop with 12th Gen Intel Core i7-12700H featuring deca-core (10-core), 16GB DDR4 RAM, 512GB SSD Optane Drive, 16-inch IPS display with 3K (3072 x 1920 pixels) resolution, TouchScreen panel",HP,Electronics,2081,36,3.5,7
HP Envy 13 2022 x360 i7 12th Gen,/images/57.jpg,"HP Envy 13 2022 x360 13-BF0013 with 12th Gen Intel Core i7-1250U processor featuring Deca-core (10-core) CPU, Intel Iris Xe Graphics, 8GB DDR4 RAM, 512GB SSD storage, 13.3-inch display with Full-HD (1920 x 1200 pixels) resolution",HP,Electronics,1059,41,4.5,77
Apple iPad Air 4 2020,/images/58.jpg,"Apple iPad Air 4 2020 Wi-Fi + Cellular Model with A14 Bionic chip with 64‑bit architecture and Neural Engine, 256GB Storage, 10.9-inch Liquid Retina display, 2360-by-1640-pixel resolution, 264 pixels per inch (PPI) pixel density",APPLE,Electronics,1044,63,4,71
Apple iPad Pro 12.9,/images/59.jpg,"Apple iPad Pro 12.9 2021 Wi-Fi 512GB Model with Apple M1 chip Featuring Octa-core CPU, Octa-core GPU, 16-core Neural Engine, 8GB RAM, 128GB Storage, 12.9-inch Liquid Retina display with 2732 x 2048 pixels resolution, 264 pixels per inch (PPI) pixel density",APPLE,Electronics,1627,63,2,90
Apple iPad Pro 11 2021,/images/60.jpg,"Apple iPad Pro 11 2021 Wi-Fi Model with Apple M1 chip Featuring Octa-core CPU, Octa-core GPU, 16-core Neural Engine, 8GB RAM, 1TB Storage, 11-inch Liquid Retina display with 2388 x 1668 pixels resolution, 264 pixels per inch (PPI) pixel density",APPLE,Electronics,1703,51,5,45
Apple M1 Pro MacBook Pro,/images/61.jpg,"Apple M1 Pro MacBook Pro 2021 with Apple M1 Pro Chip featuring 8-core CPU, 14-core GPU, 16-core Neural Engine, 16GB RAM , 512GB SSD storage, 14.2-inch Liquid Retina XDR Display with 3024 x 1964 pixels resolution, 120Hz refresh rate",APPLE,Electronics,2263,49,4,45
Apple M1 Max MacBook Pro,/images/62.jpg,"Apple M1 Max MacBook Pro 2021 with Apple M1 Pro Chip featuring 10-core CPU, 32-core GPU, 16-core Neural Engine, 32GB RAM (Unified Memory), 1TB SSD storage, 16.2-inch Liquid Retina XDR Display with 3456 x 2234 pixels resolution, 120Hz refresh rate",APPLE,Electronics,3935,76,5,35
Apple M1 MacBook Pro 2020,/images/63.jpg,"Apple M1 MacBook Pro 2020 13.3-inch Retina display (2560 x 1600 pixels resolution; 227PPI pixel density) with 400 nits of brightness and P3 color gamut, Apple M1 Chip, Octa-core (8-core) CPU, 8-core GPU, 16-core Neural Engine, 8GB Unified Memory, 512GB SSD storage",APPLE,Electronics,1740,97,3,43
Dell Inspiron 3511 i5 11th Gen,/images/64.jpg,"Dell Inspiron 3511 with 11th Generation Intel Core i5-1135G7 Processor, 8GB DDR4 RAM, 512GB SSD Storage (Additional HDD slot available for storage expansion), 15.6-inch IPS display with Full-HD resolution, 42-WattHour battery",Dell,Electronics,605,57,4.5,21
Dell Inspiron 14 7420 2-1 12th Gen,/images/65.jpg,"Dell Inspiron 14 7420 with 12th Gen Intel Core i5 1235U processor featuring (10-core) CPU, 8GB DDR4 RAM, 512GB SSD Storage, 14-inch IPS display with Full-HD Touchscreen resolution, 54-WattHour battery, 1.57KG Weight",Dell,Electronics,870,92,5,81
Dell Inspiron 16 5625 Ryzen 7 5825U,/images/66.jpg,"Dell Inspiron 16 5625 with 5000-series AMD Ryzen 7 5825U processor featuring Octa-core (8-core) CPU, AMD VEGA 8 Graphics, 8GB DDR4 RAM, 512GB SSD Storage, 16.1-inch IPS display with Full-HD resolution, 54-WattHour battery, 1.87KG Weight",Dell,Electronics,908,32,3,80
Dell Vostro 3400 i5 11th Gen,/images/67.jpg,"Dell Vostro 3400 with 11th Generation Intel Core i5-1135G7 Processor, Intel Iris Xe Graphics, 8GB DDR4 RAM (Expandable up to 16GB), 256GB SSD , 14-inch IPS display with Full-HD resolution, 42-WattHour battery",Dell,Electronics,689,28,4,59
Asus ZenBook Flip 13 UX363EA i5 11th Gen,/images/68.jpg,"Asus ZenBook Flip 13 UX363EA with 11th Gen Intel Core iCore™ i5-1135G7 processor, Intel Iris Plus Graphics, 16GB LPDDR4X RAM, 512GB PCIe Gen3 SSD Storage, 13.3-inch Full-HD 360-degree TouchScreen Display with Stylus Support, Magic NumPad",ASUS,Electronics,1105,77,0,74
Asus ZenBook Flip 13 UX363EA i7 11th Gen,/images/69.jpg,"Asus ZenBook Flip 13 UX363EA with 11th Gen Intel Core i7-1165G7, 16GB LPDDR4X RAM, 512GB PCIe Gen 3 SSD Storage, 13.3-inch display with Full-HD,400 nits brightness, 360-degree Touchscreen display with Stylus Support",ASUS,Electronics,1324,24,0,46
Asus ROG Strix G15 2021 G513QC Ryzen 7 5800H,/images/70.jpg,"Asus ROG Strix G15 2021 G513QC Gaming Laptop with 5000-series AMD Ryzen 7 5800H processor, NVIDIA RTX 3050 Graphics Card with 4GB of GDDR6 VRAM, 16GB DDR4 RAM, 512GB SSD Storage, 15.6-inch IPS display with Full-HD,144Hz refresh rate",ASUS,Electronics,1385,28,0,20
Asus ROG Zephyrus Duo 15 SE GX551QM AMD Ryzen 7 5800H,/images/71.jpg,"Asus ROG Zephyrus Duo 15 GX551 gaming laptop with powerful AMD Ryzen 7 5800H processor, NVIDIA GeForce RTX 3060 graphics card with 6GB of GDDR6 VRAM, 16GB of DDR4 RAM,512GB M.2 NVMe PCIe 3.0 SSD Storage, 15.6-inch with FHD",ASUS,Electronics,2500,32,3,32
Lenovo ThinkPad L14 Gen 2 i5 1135G7,/images/72.jpg,"Lenovo ThinkPad L14 Gen 2 with 11th Gen Intel i5 1135G7 Processor, 16GB DDR4 RAM (Expandable up to 64GB), 512GB SSD Storage, 14-inch IPS display with Full-HD (1920 x 1080 pixels) resolution, 250 nits brightness, 1.59KG Weight",LENOVO,Electronics,976,34,3.5,30
Lenovo ThinkPad L14 Gen 3 2022 Intel i7 1255U,/images/73.jpg,"Lenovo ThinkPad L14 Gen 3 with 12th Gen Intel i7 1255U Processor, 16GB DDR4 RAM, 512GB SSD Storage, 14-inch IPS display with Full-HD, 250 nits brightness, 1.39KG Weight, Stereo Speake with Dolby Atmos support, 57Whr battery, BLACK FP Reader.",LENOVO,Electronics,1286,39,5,66
Lenovo ThinkPad L13 Yoga i5 10th Gen,/images/74.jpg,Lenovo ThinkPad L13 Yoga I5 10th Gen Intel Core i5-10210U 8GB RAM 256GB SSD 13.3-inch FHD 360-degree TouchScreen,LENOVO,Electronics,946,84,3,96
Lenovo IdeaPad 3 2022 15 Ryzen 5 5625,/images/75.jpg,"Lenovo IdeaPad 3 2022 15ABA7 with AMD Ryzen 5 5625U processor featuring octa-core (8-core) CPU, 16GB DDR4 RAM, 512GB SSD storage, 15.6-inch IPS display with Full-HD, 300 nits brightness, Anti-glare panel, 38Whr battery with up to 1.41KG Weight, 0.78-inch thickness",LENOVO,Electronics,643,52,3,35
Lenovo Yoga Slim 7 Pro 14ARH7 Ryzen 7 6800HS,/images/76.jpg,"Lenovo Yoga Slim 7 Pro 14ARH7 Ryzen 7 6800HS Processor, 16GB DDR5 RAM, 1TB SSD storage, 14"" 2.8K (2880x1800) display, 400 nits brightness, 100% sRGB color coverage, 1.4KG Weight, Stereo Speake, 4-cell 61Wh battery",LENOVO,Electronics,1173,65,2,83
Lenovo Legion 5 2021 Ryzen 5 5600H,/images/77.jpg,"Lenovo Legion 5 2021 powerful gaming laptop with Ryzen 5 5600H processor featuring Six-core CPU, NVIDIA GeForce RTX 3060 Graphics Card with 6GB of GDDR6 VRAM, 15.6-inch IPS display with Full-HD (1920 x 1080 pixels) ",LENOVO,Electronics,1022,74,0,19
Razer Blade 15 2020 i7 10th Gen,/images/78.jpg,"Razer Blade 15 2020 with 10th gen Intel Core i7-10750H processor featuring six-core CPU, NVIDIA GeForce GTX 1660Ti graphics card with 6GB of GDDR5 VRAM, 16GB Dual-channel DDR4 RAM, 256GB SSD, 15.6-inch Full-HD (1920 x 1080) display with 120Hz refresh rate",Razer,Electronics,1740,47,1.5,85
Razer Blade 15 2020 i7 10th Gen,/images/79.jpg,"Razer Blade 15 2020 gaming laptop with a powerful 10th 10th Intel Core i7-10750H processor, beastly NVIDIA GeForce RTX 2070 Max-Q graphics card with 8GB of GDDR6 VRAM and Ray-tracking support, 16GB Dual-channel DDR4 RAM, 512GB PCIe SSD Storage",Razer,Electronics,2497,65,3.5,75
MSI Stealth 15M A11SDK i7 11th Gen,/images/80.jpg,"MSI Stealth 15M A11SDK with 11th Gen Intel Core i7-1185G7 processor, NVIDIA GTX 1660Ti graphics card with 6GB of GDDR6 VRAM, 16GB RAM DDR4 RAM (Expandable up to 64GB; 2 DIMM Slots), 512GB NVMe PCIe Gen4 SSD Storage, 15.6-inch IPS display with Full-HD",MSI,Electronics,1589,75,3.5,43
MSI GL65 9ScK i7 9TH GEN,/images/81.jpg,"MSI GL65 9SCK Gaming Laptop with 9th Gen Intel Core i7-9750H processor, NVIDIA GeForce GTX 1650 Graphics Card with 4GB of GDDR5 VRAM, 8GB of DDR$ RAM , 512GB SSD Storage, 15.6-inch IPS display with Full-HD (1920 x 1080)",MSI,Electronics,908,51,3.5,22
MSI Katana GF66 11UE i7 11th GEN 8 Core,/images/82.jpg,"MSI Katana GF66 11UE Gaming laptop with 11th Gen Intel Core i7-11800H processor featuring octa-core CPU, NVIDIA RTX 3060 Graphics Card with 6GB of GDDR6 VRAM,16GB DDR4 RAM, 1TB SSD 2x M.2 SSD slot, 15.6-inch IPS display with Full-HD and 144Hz refresh rate",MSI,Electronics,1430,29,4,92
MSI GF63 Thin 10UD i5 10TH GEN,/images/83.jpg,"MSI GF63 Thin 10UD gaming laptop with 10th Gen Intel Core i5-10500H processor, NVIDIA RTX 3050Ti Graphics Card with 4GB GDDR6 VRAM, 8GB RAM (Expandable up to 64GB), 512GB SSD storage,15.6-inch IPS display with Full-HD, 144Hz refresh rate",MSI,Electronics,908,75,3,77
